"Hotel_Name","Hotel_Country","Hotel_City","Hotel_lat","Hotel_lng","Businesses_100m","Businesses_1km","Businesses_5km","Room_Type_Level","Guest_Type","Trip_Type","Stay_Duration","Review_Date","Days_Since_Review","Is_Hotel_Holiday","Is_Reviewer_Holiday","Total_Number_of_Reviews","Review_Is_Positive","Review_Positivity_Rate","Reviewer_Nationality","Average_Score","Reviewer_Score","Total_Number_of_Reviews_Reviewer_Has_Given","Additional_Number_of_Scoring","Submitted_from_Mobile"
"Grange City Hotel","Gran Bretaña","London",51.5110114,-0.0771251,"44","60","31","Other","Couple","Leisure trip",1,2016-04-04,486,"No","No",872,"No",34.7826,"United Kingdom ",8.7,8.3,2,267,"No"
"Hilton London Olympia","Gran Bretaña","London",51.4967399,-0.2064723,"95","137","230","Other","Family","Leisure trip",1,2016-04-26,464,"No","No",1786,"Yes",100,"United Kingdom ",7.4,7.9,9,438,"No"
"Boutique Hotel Notting Hill","Holanda","Amsterdam",52.3583821,4.8988777,"48","73","237","Other","Group","Leisure trip",3,2016-02-24,526,"No","No",2085,"Yes",64.7059,"United Kingdom ",8.4,8.3,1,404,"Yes"
"Best Western Premier Hotel Couture","Holanda","Amsterdam",52.3511137,4.8411629,"2","15","189","Other","Couple","Leisure trip",3,2017-07-08,26,"No","No",8177,"Yes",100,"Ireland ",8.7,9.2,2,947,"Yes"
"WestCord Fashion Hotel Amsterdam","Holanda","Amsterdam",52.357655,4.844576,"62","68","196","Other","Couple","Leisure trip",4,2015-08-30,704,"No","No",5236,"Yes",100,"United Kingdom ",8.7,9.6,2,757,"Yes"
"H tel D Aubusson","Francia","Paris",48.8547329,2.3395277,"114","139","177","Other","Family","Leisure trip",6,2017-03-27,129,"No","No",941,"Yes",56.6667,"United States of America ",9.4,10,1,211,"Yes"
"Best Western Delphi Hotel","Holanda","Amsterdam",52.3504558,4.8770194,"25","2","233","Other","Family","Leisure trip",3,2016-04-05,485,"No","No",372,"No",11.2,"United Kingdom ",7.5,5.8,1,57,"Yes"
"Grand Hotel Amr th Amsterdam","Holanda","Amsterdam",52.3744149,4.9041443,"73","35","234","Deluxe","Family","Leisure trip",3,2016-07-15,384,"No","No",1530,"No",0,"United Arab Emirates ",8.3,6.3,23,207,"Yes"
"K K Hotel Maria Theresia","Austria","Vienna",48.2031622,16.3561999,"81","65","5","Other","Group","Business trip",2,2016-02-08,542,"No","No",3181,"Yes",54.5455,"Austria ",8.7,8.8,4,285,"No"
"Sixtytwo Hotel","España","Barcelona",41.3930168,2.1646148,"75","132","42","Standard","Solo traveler","Business trip",1,2016-08-25,343,"No","No",1010,"No",15.3846,"Turkey ",9.2,7.5,27,129,"Yes"
"Strand Palace Hotel","Gran Bretaña","London",51.5110993,-0.1208673,"102","105","111","Other","Solo traveler","Business trip",1,2016-03-14,507,"No","No",9568,"No",0,"Austria ",8.1,6.3,102,2288,"No"
"Hotel Zeitgeist Vienna Hauptbahnhof","Austria","Vienna",48.1829645,16.3776709,"62","127","239","Other","Family","Leisure trip",1,2016-07-21,378,"No","No",841,"No",41.9355,"Thailand ",8.7,9.2,17,59,"Yes"
"Copthorne Tara Hotel London Kensington","Gran Bretaña","London",51.499046,-0.1917073,"62","5","10","Other","Solo traveler","Leisure trip",1,2017-06-28,36,"No","No",7105,"No",4.72973,"United Kingdom ",8.1,6.3,2,1831,"Yes"
"The Cumberland A Guoman Hotel","Gran Bretaña","London",51.514879,-0.1606501,"61","5","87","Deluxe","Couple","Leisure trip",5,2016-02-13,537,"No","No",5180,"No",13.8889,"United Kingdom ",7.5,5.4,8,1190,"Yes"
"Novotel London Waterloo","Gran Bretaña","London",51.4948465,-0.1187481,"36","12","114","Deluxe","Solo traveler","Business trip",1,2016-07-23,376,"No","No",1047,"Yes",78.3784,"Sweden ",8.2,8.8,10,176,"No"
"Ambassadors Bloomsbury","Gran Bretaña","London",51.5266618,-0.1296571,"38","106","104","Other","Group","Business trip",1,2016-09-30,307,"No","No",1521,"No",0,"Belgium ",7.9,7.9,6,398,"No"
"Axel Hotel Barcelona Urban Spa Adults Only","España","Barcelona",41.3873478,2.1603987,"81","120","41","Other","Solo traveler","Leisure trip",2,2017-03-20,136,"No","No",2694,"Yes",100,"South Africa ",8,10,1,269,"No"
"Qualys Hotel Nasco","Italia","Milan",45.4848809,9.1596461,"106","134","228","Other","Couple","Couple",2,2016-07-21,378,"No","No",1658,"Yes",75,"Malta ",8.2,9.2,4,101,"Yes"
"Park Grand Paddington Court","Gran Bretaña","London",51.5135555,-0.180002,"44","281","47","Other","Solo traveler","Business trip",1,2017-01-19,196,"No","No",6608,"Yes",100,"United Kingdom ",8.1,9.2,7,1243,"No"
"DoubleTree by Hilton London Docklands Riverside","Gran Bretaña","London",51.5043483,-0.0334436,"51","37","212","Deluxe","Couple","Leisure trip",2,2017-01-05,210,"No","No",3826,"No",33.3333,"United Kingdom ",8.1,7.9,1,995,"No"
"Hazlitt s","Gran Bretaña","London",51.5143447,-0.1318157,"26","172","103","Other","Solo traveler","Leisure trip",1,2017-06-24,40,"No","No",465,"Yes",100,"United States of America ",9,9.6,11,126,"No"
"Thistle Euston","Gran Bretaña","London",51.5291423,-0.1372782,"51","62","100","Standard","Couple","Leisure trip",2,2015-08-31,703,"No","No",2474,"No",45.1613,"United Kingdom ",8.3,7.9,2,744,"Yes"
"London Hilton on Park Lane","Gran Bretaña","London",51.5055513,-0.1501698,"32","62","94","Family","Family","Leisure trip",3,2016-06-24,405,"No","No",943,"No",41.8605,"United States of America ",7.8,10,3,296,"No"
"H tel Le Walt","Francia","Paris",48.8547161,2.306642,"50","17","130","Classic","Couple","Leisure trip",6,2015-12-29,583,"No","No",257,"Yes",100,"United States of America ",8.8,9.6,11,40,"Yes"
"The Montcalm Marble Arch","Gran Bretaña","London",51.5150522,-0.159239,"49","17","87","Other","Family","Business trip",7,2016-04-18,472,"No","No",2752,"No",38.4615,"Saudi Arabia ",8.9,8.3,16,687,"Yes"
"Holiday Inn Paris Gare de l Est","Francia","Paris",48.8758981,2.3590504,"59","82","157","Other","Group","Leisure trip",2,2016-03-07,514,"No","No",6511,"Yes",53.4884,"Ireland ",7.9,9.6,2,710,"No"
"citizenM Amsterdam","Holanda","Amsterdam",52.3419432,4.8759604,"73","155","233","Other","Couple","Leisure trip",2,2017-05-09,86,"No","No",4530,"Yes",63.2353,"United Kingdom ",8.6,10,1,726,"Yes"
"Radisson Blu Edwardian Berkshire","Gran Bretaña","London",51.5146025,-0.1481978,"102","67","94","Other","Group","Leisure trip",1,2015-08-09,725,"No","No",1600,"Yes",100,"United Kingdom ",8.1,10,7,252,"No"
"Austria Trend Hotel Savoyen Vienna","Austria","Vienna",48.1950444,16.3844751,"36","206","236","Deluxe","Solo traveler","Leisure trip",3,2016-08-02,366,"No","No",4016,"No",31.25,"United Arab Emirates ",8.9,8.3,3,370,"Yes"
"Le Pavillon de la Reine Spa","Francia","Paris",48.8562725,2.3660412,"50","105","146","Deluxe","Couple","Leisure trip",1,2016-02-04,546,"No","No",376,"Yes",100,"United States of America ",9.2,10,1,74,"No"
"Occidental Atenea Mar Adults Only","España","Barcelona",41.4023621,2.2119049,"51","93","216","Other","Couple","Leisure trip",3,2017-04-15,110,"No","No",2500,"Yes",75,"South Africa ",8.2,10,18,241,"No"
"Imperial Riding School Renaissance Vienna Hotel","Austria","Vienna",48.1966396,16.3863822,"106","200","234","Other","Family","Leisure trip",3,2017-04-05,120,"No","No",1395,"No",34.9206,"United Kingdom ",8.1,8.8,6,116,"No"
"Hotel Montaigne","Francia","Paris",48.865467,2.3038811,"42","55","124","Classic","Couple","Leisure trip",3,2017-03-28,128,"No","No",431,"No",29.0323,"United Kingdom ",8.1,7.9,1,68,"No"
"Residence Du Roy","Francia","Paris",48.8657687,2.3090386,"95","50","137","Family","Family","Leisure trip",2,2017-01-31,184,"No","No",970,"Yes",66.6667,"United States of America ",8.4,10,6,98,"Yes"
"Grand Royale London Hyde Park","Gran Bretaña","London",51.5109945,-0.1863417,"58","329","24","Other","Couple","Leisure trip",1,2016-07-12,387,"Yes","Yes",6539,"No",5.22388,"United Kingdom ",7.7,2.9,6,1274,"No"
"The Tower A Guoman Hotel","Gran Bretaña","London",51.5064721,-0.0716893,"20","12","20","Other","Solo traveler","Business trip",1,2017-06-21,43,"No","No",3486,"No",0,"Germany ",8.6,4.6,18,950,"Yes"
"The Zetter Hotel","Gran Bretaña","London",51.522672,-0.1036841,"47","47","110","Standard","Group","Leisure trip",1,2017-05-24,71,"No","No",394,"Yes",100,"United Kingdom ",8.9,10,15,119,"No"
"Attica 21 Barcelona Mar","España","Barcelona",41.4052324,2.2117289,"36","97","216","Other","Couple","Leisure trip",4,2017-05-02,93,"No","No",926,"Yes",67.7419,"United Kingdom ",8.1,4.2,7,109,"Yes"
"Novotel London Greenwich","Gran Bretaña","London",51.4778583,-0.0137463,"73","87","191","Other","Group","Leisure trip",1,2016-10-06,301,"No","No",924,"No",6.66667,"United Kingdom ",8.6,4.6,1,274,"Yes"
"Pestana Chelsea Bridge Hotel Spa","Gran Bretaña","London",51.4815995,-0.1481053,"2","173","92","Deluxe","Couple","Leisure trip",1,2016-12-29,217,"No","No",1686,"Yes",71.4286,"United Kingdom ",8.6,10,4,568,"Yes"
"Rathbone","Gran Bretaña","London",51.5186801,-0.1354055,"9","154","102","Other","Family","Leisure trip",1,2016-02-26,524,"No","No",776,"Yes",100,"United Kingdom ",8.3,10,2,199,"No"
"Knightsbridge Hotel","Gran Bretaña","London",51.4980052,-0.1643238,"75","257","85","Deluxe","Couple","Leisure trip",2,2016-02-23,527,"No","No",473,"No",15.3846,"United Kingdom ",9.1,8.8,2,129,"Yes"
"Mercure Paris Montmartre Sacr Coeur","Francia","Paris",48.8852794,2.3301021,"50","82","170","Deluxe","Couple","Leisure trip",3,2016-11-25,251,"No","No",1652,"Yes",100,"United Kingdom ",8.4,8.3,9,159,"Yes"
"DoubleTree by Hilton Hotel London Tower of London","Gran Bretaña","London",51.5108412,-0.0780581,"41","62","34","Other","Couple","Leisure trip",2,2015-12-23,589,"No","No",7491,"No",41.1765,"United Kingdom ",8.7,9.6,1,1936,"Yes"
"Hotel Regina","Austria","Vienna",48.2163343,16.3595536,"48","41","4","Other","Couple","Leisure trip",4,2016-08-21,347,"No","No",1948,"Yes",100,"Germany ",8.4,2.9,3,165,"No"
"Les Jardins Du Marais","Francia","Paris",48.8605219,2.3680239,"77","116","143","Classic","Solo traveler","Business trip",2,2016-11-10,266,"No","No",838,"Yes",100,"United Arab Emirates ",8.1,7.1,5,81,"Yes"
"Conrad London St James","Gran Bretaña","London",51.4993927,-0.1329128,"55","120","103","Deluxe","Group","Leisure trip",13,2017-04-25,100,"No","No",944,"No",11.1111,"Monaco ",9.1,8.8,5,242,"Yes"
"Mercure London Bridge","Gran Bretaña","London",51.5052587,-0.099176,"38","17","100","Deluxe","Couple","Leisure trip",2,2017-08-02,1,"No","No",947,"No",43.3333,"United Kingdom ",8.5,9.6,2,237,"Yes"
"Sofitel Paris Le Faubourg","Francia","Paris",48.868414,2.3213247,"55","62","161","Deluxe","Couple","Leisure trip",4,2017-01-31,184,"No","No",564,"Yes",100,"Lebanon ",8.5,6.7,2,91,"No"
"Hotel Liberty","Italia","Milan",45.4508673,9.1948659,"49","281","7","Other","Group","Leisure trip",4,2015-09-08,695,"No","No",465,"No",44.8718,"Slovakia ",5.2,6.3,1,26,"No"
"Grand Royale London Hyde Park","Gran Bretaña","London",51.5109945,-0.1863417,"58","329","24","Other","Solo traveler","Leisure trip",5,2016-12-19,227,"No","No",6539,"Yes",76,"Lebanon ",7.7,7.1,2,1274,"No"
"Courthouse Hotel Shoreditch","Gran Bretaña","London",51.5273442,-0.0796152,"71","62","39","Other","Solo traveler","Leisure trip",1,2017-04-08,117,"No","No",477,"Yes",71.4286,"United Kingdom ",8.9,10,2,144,"Yes"
"Commodore Hotel","Gran Bretaña","London",51.5124496,-0.1795215,"49","277","48","Other","Group","Leisure trip",1,2016-05-10,450,"No","No",2400,"No",32.1429,"United Kingdom ",6.7,7.5,7,417,"Yes"
"NH Collection Milano President","Italia","Milan",45.4630685,9.1979367,"49","29","7","Other","Family","Family",2,2016-01-03,578,"No","No",3754,"No",25,"United States of America ",8.7,9.6,5,398,"Yes"
"DoubleTree by Hilton Hotel London Tower of London","Gran Bretaña","London",51.5108412,-0.0780581,"41","62","34","Other","Family","Leisure trip",4,2017-06-11,53,"No","No",7491,"No",41.9355,"Germany ",8.7,7.1,2,1936,"Yes"
"Hotel Kaiserin Elisabeth","Austria","Vienna",48.2072348,16.372238,"6","86","3","Other","Couple","Leisure trip",2,2015-11-12,630,"No","No",1772,"No",11.1111,"Serbia ",9.2,3.8,35,173,"Yes"
"Holiday Inn London Mayfair","Gran Bretaña","London",51.507746,-0.1422993,"87","125","98","Other","Solo traveler","Business trip",1,2016-10-13,294,"No","No",1894,"No",26.6667,"Israel ",8,8.8,10,390,"No"
"Great Northern Hotel A Tribute Portfolio Hotel London","Gran Bretaña","London",51.531427,-0.126133,"59","24","105","Other","Family","Leisure trip",4,2016-09-15,322,"No","No",1110,"Yes",85.7143,"Portugal ",8.9,9.6,10,303,"Yes"
"NH Collection Milano President","Italia","Milan",45.4630685,9.1979367,"49","29","7","Other","Couple","Business trip",3,2015-10-10,663,"No","No",3754,"No",50,"Saudi Arabia ",8.7,10,9,398,"Yes"
"Suite Hotel 900 m zur Oper","Austria","Vienna",48.1935235,16.3669145,"20","41","3","Business","Group","Business trip",6,2016-02-24,526,"No","No",3461,"Yes",100,"Russia ",8,10,4,260,"No"
"Millennium Gloucester Hotel London","Gran Bretaña","London",51.4935083,-0.1834346,"38","267","36","Standard","Couple","Leisure trip",8,2015-08-04,730,"No","No",5726,"No",15.7895,"United States of America ",7.8,9.2,2,1444,"No"
"Sunotel Central","España","Barcelona",41.3841429,2.1616896,"57","120","41","Other","Group","Leisure trip",2,2017-03-17,139,"No","No",3870,"No",12.1622,"Romania ",8.2,4.2,6,325,"No"
"Swiss tel Amsterdam","Holanda","Amsterdam",52.3735266,4.8933041,"110","106","237","Other","Group","Leisure trip",1,2016-04-28,462,"No","No",2756,"Yes",100,"Iraq ",8.5,10,16,451,"Yes"
"The Hoxton Shoreditch","Gran Bretaña","London",51.5255136,-0.082927,"83","60","53","Other","Solo traveler","Business trip",2,2016-05-24,436,"No","No",1732,"Yes",84.375,"United Kingdom ",9,10,12,524,"Yes"
"Mercure Paris Opera Louvre","Francia","Paris",48.8710895,2.3393461,"60","172","178","Other","Group","Leisure trip",2,2015-11-03,639,"No","No",511,"Yes",100,"India ",8.1,7.9,33,48,"No"
"AC Hotel Barcelona Forum a Marriott Lifestyle Hotel","España","Barcelona",41.4101306,2.2188047,"84","30","195","Other","Family","Leisure trip",4,2016-12-31,215,"No","No",1560,"No",31.746,"Ireland ",8.1,9.6,2,160,"Yes"
"Mercure Paris 19 Philharmonie La Villette","Francia","Paris",48.8886969,2.3945403,"62","104","44","Standard","Group","Leisure trip",2,2017-04-05,120,"No","No",607,"No",27.2727,"Ireland ",7.5,7.5,1,34,"Yes"
"H tel des Champs Elys es","Francia","Paris",48.8722884,2.3090359,"94","60","136","Classic","Couple","Leisure trip",1,2015-08-15,719,"No","No",755,"Yes",100,"New Zealand ",8.4,10,3,118,"Yes"
"Clayton Hotel Chiswick","Gran Bretaña","London",51.4924184,-0.2784701,"51","13","179","Other","Couple","Business trip",1,2015-12-09,603,"No","No",1944,"No",50,"United Kingdom ",8.5,8.8,30,562,"Yes"
"The Dorchester Dorchester Collection","Gran Bretaña","London",51.5074007,-0.1524593,"29","55","94","Other","Solo traveler","Leisure trip",7,2017-01-23,192,"No","No",545,"Yes",100,"United States of America ",9.1,10,3,173,"No"
"Hotel Regina","Austria","Vienna",48.2163343,16.3595536,"48","41","4","Standard","Family","Leisure trip",1,2015-12-29,583,"No","No",1948,"No",35.7143,"Poland ",8.4,9.6,1,165,"No"
"The Piccadilly London West End","Gran Bretaña","London",51.5121957,-0.1318384,"40","172","104","Other","Couple","Leisure trip",1,2017-06-05,59,"No","No",2298,"Yes",71.1538,"United Kingdom ",9,10,11,531,"Yes"
"Millennium Gloucester Hotel London","Gran Bretaña","London",51.4935083,-0.1834346,"38","267","36","Other","Couple","Leisure trip",3,2015-11-22,620,"No","No",5726,"Yes",100,"United Kingdom ",7.8,7.9,19,1444,"No"
"St James Court A Taj Hotel London","Gran Bretaña","London",51.4986732,-0.1376867,"41","91","101","Classic","Family","Leisure trip",8,2016-03-29,492,"No","No",5394,"Yes",100,"France ",8.7,9.6,2,1299,"Yes"
"ME London by Melia","Gran Bretaña","London",51.511879,-0.118552,"77","96","115","Other","Solo traveler","Business trip",1,2017-02-01,183,"No","No",1017,"Yes",100,"Norway ",9.2,8.8,1,345,"Yes"
"NH Amsterdam Zuid","Holanda","Amsterdam",52.3266672,4.8800884,"36","46","233","Standard","Solo traveler","Business trip",3,2017-03-12,144,"No","No",1245,"No",15.3846,"Finland ",7.8,5.8,2,148,"Yes"
"Majestic Hotel Spa Barcelona GL","España","Barcelona",41.3935179,2.1639813,"69","131","42","Other","Solo traveler","Leisure trip",3,2016-09-15,322,"No","No",1769,"Yes",79.4118,"United Arab Emirates ",8.9,9.6,14,337,"No"
"Molitor Paris MGallery by Sofitel","Francia","Boulogne Billancourt",48.8448902,2.252833,"62","95","215","Other","Family","Leisure trip",3,2016-08-30,338,"No","No",659,"No",35.8491,"United Kingdom ",8.8,5.4,13,29,"Yes"
"Novotel Amsterdam City","Holanda","Amsterdam",52.333803,4.8884708,"51","64","236","Standard","Group","Leisure trip",1,2016-05-24,436,"No","No",2501,"Yes",62.5,"Netherlands ",7.8,8.8,1,341,"Yes"
"Acca Palace","Italia","Milan",45.5099969,9.1739942,"36","69","241","Other","Solo traveler","Business trip",2,2015-08-13,721,"No","No",1886,"Yes",58.5366,"United Kingdom ",8.5,9.2,2,102,"No"
"The Rembrandt","Gran Bretaña","London",51.4959227,-0.1702917,"84","274","73","Other","Solo traveler","Solo traveler",3,2016-04-05,485,"No","No",1802,"Yes",100,"United Arab Emirates ",8.5,9.2,14,421,"Yes"
"Catalonia Barcelona Plaza","España","Barcelona",41.3750293,2.1491172,"57","5","34","Other","Group","Leisure trip",3,2016-08-16,352,"No","No",4527,"No",15.7895,"Switzerland ",8.4,5.4,1,419,"Yes"
"Amadi Panorama Hotel","Holanda","Amsterdam",52.3588806,4.9886041,"73","146","193","Deluxe","Group","Leisure trip",2,2016-11-08,268,"No","No",2586,"No",0,"Japan ",8.4,8.8,7,253,"Yes"
"Rathbone","Gran Bretaña","London",51.5186801,-0.1354055,"9","154","102","Other","Couple","Leisure trip",1,2015-09-23,680,"No","No",776,"Yes",71.4286,"Australia ",8.3,10,32,199,"Yes"
"Thistle Holborn The Kingsley","Gran Bretaña","London",51.5179659,-0.1234343,"42","122","109","Other","Couple","Leisure trip",3,2016-04-06,484,"No","No",1593,"No",25,"Romania ",8.5,9.2,23,387,"No"
"NH Amsterdam Noord","Holanda","Amsterdam",52.3923684,4.9110442,"84","21","229","Other","Group","Leisure trip",1,2016-12-22,224,"No","No",734,"Yes",100,"Canada ",8.2,10,4,83,"Yes"
"Hotel Mercure Wien City","Austria","Vienna",48.2152663,16.376103,"3","62","2","Other","Family","Leisure trip",3,2016-08-14,354,"No","No",910,"No",0,"United Arab Emirates ",8.2,6.7,12,86,"No"
"H tel Moli re","Francia","Paris",48.8655293,2.3360102,"122","158","177","Other","Solo traveler","Business trip",2,2016-10-31,276,"No","No",579,"Yes",100,"Poland ",9.2,9.6,2,87,"No"
"Commodore Hotel","Gran Bretaña","London",51.5124496,-0.1795215,"49","277","48","Other","Couple","Leisure trip",3,2016-03-20,501,"No","No",2400,"No",0,"Ireland ",6.7,5.4,1,417,"Yes"
"citizenM London Bankside","Gran Bretaña","London",51.5051507,-0.1004724,"31","17","102","Other","Solo traveler","Business trip",2,2016-06-20,409,"No","No",3802,"Yes",57.8947,"Poland ",9.1,8.3,19,804,"Yes"
"Mondrian London","Gran Bretaña","London",51.5084036,-0.1067988,"11","29","112","Standard","Couple","Leisure trip",1,2017-01-13,202,"No","No",3611,"Yes",82.3529,"United Kingdom ",9.1,10,1,1100,"Yes"
"London Marriott Hotel West India Quay","Gran Bretaña","London",51.5072713,-0.0211213,"20","153","191","Deluxe","Group","Leisure trip",1,2016-10-18,289,"No","No",2836,"Yes",60,"United Kingdom ",8.9,10,2,930,"Yes"
"Best Western The Boltons Hotel London Kensington","Gran Bretaña","London",51.4907493,-0.1934627,"42","286","9","Other","Couple","Leisure trip",1,2016-12-24,222,"No","No",1573,"Yes",100,"United Kingdom ",7.7,8.3,1,249,"Yes"
"The Principal London","Gran Bretaña","London",51.5226217,-0.1251602,"35","122","108","Other","Couple","Leisure trip",6,2015-12-27,585,"No","No",3150,"No",39.1304,"Ireland ",8,7.5,7,724,"Yes"
"STRAF a Member of Design Hotels ","Italia","Milan",45.465237,9.191247,"77","50","9","Other","Family","Leisure trip",3,2016-09-01,336,"No","No",1062,"No",33.3333,"United Kingdom ",8.3,8.8,4,112,"Yes"
"NH Wien Belvedere","Austria","Vienna",48.1954348,16.383429,"51","240","237","Other","Couple","Leisure trip",3,2016-07-11,388,"No","No",1191,"Yes",62.5,"Czech Republic ",8.4,10,6,105,"No"
"Claris Hotel Spa GL","España","Barcelona",41.3944848,2.1651078,"75","125","42","Duplex","Solo traveler","Leisure trip",3,2015-08-18,716,"No","No",931,"No",50,"Iran ",8.6,7.5,29,154,"Yes"
"Hilton London Green Park","Gran Bretaña","London",51.5064534,-0.1456146,"74","94","97","Deluxe","Couple","Leisure trip",1,2016-03-25,496,"No","No",1139,"Yes",66.6667,"United Kingdom ",7.3,7.5,1,254,"Yes"
"Rubens At The Palace","Gran Bretaña","London",51.4981471,-0.1436492,"61","47","99","Other","Couple","Leisure trip",2,2016-10-17,290,"No","No",1449,"No",0,"Ireland ",8.7,8.3,1,332,"Yes"
"Hilton London Kensington Hotel","Gran Bretaña","London",51.5051084,-0.213266,"36","194","223","Other","Couple","Leisure trip",3,2017-03-19,137,"No","No",3801,"No",42.8571,"United Kingdom ",7.8,8.8,1,843,"Yes"
