"id","Total.Household.Income","Region","Total.Food.Expenditure","Main.Source.of.Income","Agricultural.Household.indicator","Restaurant.and.hotels.Expenditure","Alcohol.and.tobacco.expenditure","Clothing..Footwear.and.Other.Wear.Expenditure","Housing.and.water.Expenditure","Imputed.House.Rental.Value","Medical.education.transport.and.communication.expenditure","Miscellaneous.goods.and.special.occasions.expenditure","Crop.Farming.and.Gardening.expenses","Total.Income.from.Entrepreneurial.Acitivites","Household.Head.Sex","Household.Head.Age","Household.Head.Marital.Status","Household.Head.Highest.Grade.Completed","Household.Head.Job.or.Business.Indicator","Household.Head.Occupation","Household.Head.Class.of.Worker","Total.Number.of.Family.members","Members.with.age.less.than.5.year.old","Members.with.age.5...17.years.old","Total.number.of.family.members.employed","Type.of.Building.House","House.Floor.Area","House.Age","Number.of.bedrooms","Electricity","Number.of.Car..Jeep..Van","Number.of.Cellular.phone","Number.of.Motorcycle.Tricycle"
1701,285475,"X - Northern Mindanao",78547,"Wage/Salaries","0",18660,0,599,62796,48000,12941,15336,0,0,"Male",60,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",4,0,1,1,"Single house",145,35,5,1,0,2,0
1702,124329,"IVA - CALABARZON",66004,"Enterpreneurial Activities","0",7250,4706,1288,31488,18000,5748,10254,0,53890,"Male",57,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",5,1,0,1,"Single house",50,10,3,1,0,2,0
1703,78242,"VIII - Eastern Visayas",46945,"Other sources of Income","0",1810,1320,340,18330,12000,8876,1668,500,27722,"Male",65,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,1,"Single house",55,29,0,1,0,1,0
1704,75087,"I - Ilocos Region",36943,"Wage/Salaries","0",4020,1826,609,9582,3600,10593,4508,0,13200,"Male",30,"Married","Elementary Studies","With Job/Business","Secondary Sector","Worked for private establishment",3,0,1,2,"Single house",50,24,2,0,0,1,0
1705,295600,"Caraga",86660,"Enterpreneurial Activities","0",5710,4810,620,24288,15600,3770,4680,0,263960,"Male",33,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,2,0,0,"Single house",29,7,1,1,0,2,1
1706,42691,"XII - SOCCSKSARGEN",17129,"Other sources of Income","2",3640,4863,90,5352,3600,600,1086,0,0,"Male",44,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",2,0,0,2,"Single house",20,11,0,1,0,0,0
1707,155588,"V - Bicol Region",86467,"Wage/Salaries","0",19887,1035,990,13356,9000,12830,25969,0,11730,"Male",48,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,1,0,2,"Single house",20,20,1,1,0,1,0
1708,127497,"III - Central Luzon",41352,"Wage/Salaries","0",3600,80,985,24198,4800,630,3044,0,0,"Male",57,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",6,0,3,2,"Single house",10,27,2,1,0,0,0
1709,52412,"VII - Central Visayas",22088,"Other sources of Income","0",8010,1810,1100,12840,9000,1097,1248,0,0,"Female",68,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",20,18,1,1,0,0,0
1710,104500," ARMM",88071,"Enterpreneurial Activities","1",480,2730,1620,21000,6000,5632,3630,0,87150,"Male",49,"Married","No Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",9,0,4,0,"Single house",60,15,0,1,0,1,0
1711,186997,"I - Ilocos Region",68512,"Enterpreneurial Activities","1",3380,2600,1245,29460,21000,8010,8975,134835,134835,"Male",62,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,1,0,1,"Single house",30,8,2,1,0,3,1
1712,160949,"IX - Zasmboanga Peninsula",35006,"Other sources of Income","0",1200,100,1316,11790,4500,16908,10294,18270,27670,"Female",71,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,0,0,"Single house",43,42,2,1,0,0,0
1713,397376,"NCR",178809,"Wage/Salaries","2",94190,5074,2995,62040,30000,54082,25083,0,145400,"Male",44,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",6,0,1,2,"Single house",64,20,2,1,0,6,1
1714,99790,"VI - Western Visayas",51311,"Wage/Salaries","1",0,2384,660,19350,10200,2578,1302,20365,22565,"Male",55,"Widowed","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,0,2,"Single house",40,0,1,1,0,1,0
1715,335236,"IVB - MIMAROPA",126672,"Other sources of Income","0",15870,2555,15875,25170,13800,92114,24190,22273,56611,"Female",55,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",7,1,3,1,"Single house",56,20,1,1,0,5,1
1716,124892,"II - Cagayan Valley",82785,"Wage/Salaries","1",13380,15794,3260,13080,3600,6408,12094,0,0,"Male",45,"Married","No Studies","With Job/Business","Secondary Sector","Worked for private establishment",8,0,4,4,"Single house",35,19,1,1,0,2,0
1717,49823,"VII - Central Visayas",30839,"Other sources of Income","0",10830,0,1425,13710,9000,960,1212,0,0,"Male",81,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",14,65,1,1,0,0,0
1718,151250,"IVA - CALABARZON",72331,"Wage/Salaries","0",2531,230,2100,26718,6000,25689,8108,0,6532,"Female",50,"Married","Elementary Studies","No Job/Business","No Occupation","Unemployed",11,2,4,1,"Single house",35,32,0,1,0,2,0
1719,191640,"CAR",106158,"Wage/Salaries","0",6000,10000,720,28716,18000,9661,6200,0,0,"Male",27,"Married","High School Studies","With Job/Business","Secondary Sector","Worked for private establishment",4,1,1,2,"Single house",100,9,1,1,0,4,0
1720,113553,"V - Bicol Region",98074,"Enterpreneurial Activities","0",2617,928,5698,22056,13200,11162,14238,35830,94810,"Male",50,"Married","Program Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",4,0,2,0,"Single house",80,9,2,1,0,2,1
1721,100655,"XII - SOCCSKSARGEN",36240,"Wage/Salaries","2",1100,1650,3810,11976,4800,5972,5124,0,36900,"Female",65,"Widowed","No Studies","No Job/Business","No Occupation","Unemployed",4,0,0,3,"Single house",17,42,2,1,0,3,0
1722,101539,"VIII - Eastern Visayas",74622,"Other sources of Income","0",0,0,1230,21228,12000,8391,5268,6338,6338,"Female",68,"Single","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",3,0,0,1,"Single house",54,23,2,1,0,1,0
1723,162413,"VIII - Eastern Visayas",95193,"Wage/Salaries","1",8150,670,1799,7890,3600,30871,10006,51033,52705,"Male",60,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",5,1,0,2,"Single house",32,8,2,1,0,2,0
1724,197520,"VII - Central Visayas",44853,"Wage/Salaries","0",6990,0,3006,48318,18000,18874,1740,6530,6930,"Male",60,"Married","No Studies","With Job/Business","Primary Sector","Worked without pay in own family-operated farm or business",4,0,0,1,"Single house",26,2,2,1,0,0,0
1725,102614,"XII - SOCCSKSARGEN",62689,"Wage/Salaries","1",3470,450,1505,20100,12000,9878,11898,0,0,"Male",35,"Married","High School Studies","With Job/Business","Primary Sector","Worked for private establishment",5,2,1,1,"Single house",27,2,2,1,0,1,0
1726,266261,"NCR",139495,"Wage/Salaries","2",34860,2172,2860,64458,33000,14858,11308,0,0,"Male",42,"Married","High School Studies","With Job/Business","Primary Sector","Worked for government/government corporation",6,1,1,2,"Single house",24,26,1,1,0,3,0
1727,203937,"Caraga",91086,"Other sources of Income","0",2400,7212,1318,15132,9000,4233,8152,11324,93804,"Male",68,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",6,1,1,0,"Single house",40,19,2,1,0,1,0
1728,75615,"VI - Western Visayas",37875,"Other sources of Income","1",9984,3098,2100,8502,5400,2930,2740,0,12560,"Male",50,"Widowed","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",1,0,0,1,"Single house",30,5,2,0,0,0,0
1729,68714,"III - Central Luzon",54756,"Wage/Salaries","1",2560,660,2490,10080,3000,1960,11022,0,5046,"Male",37,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",3,1,0,1,"Single house",20,6,1,1,0,1,0
1730,101050,"II - Cagayan Valley",68743,"Enterpreneurial Activities","1",8820,1170,1905,19020,12000,3474,5296,63155,63155,"Male",33,"Married","No Studies","With Job/Business","Tertiary Sector","Employer in own family-operated farm or business",6,1,3,1,"Single house",20,4,1,1,0,0,0
1731,197586,"III - Central Luzon",78618,"Other sources of Income","0",5540,1810,3700,38490,24000,17003,19624,0,0,"Male",72,"Married","No Studies","No Job/Business","No Occupation","Unemployed",5,1,1,2,"Single house",95,27,2,1,0,2,0
1732,101526,"IVA - CALABARZON",67141,"Wage/Salaries","0",5275,690,3760,11760,6000,7418,12644,0,0,"Male",36,"Married","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",7,1,4,1,"Single house",48,6,2,0,0,0,0
1733,134379,"XII - SOCCSKSARGEN",41044,"Wage/Salaries","0",10099,464,2808,20016,15000,64653,9330,0,0,"Male",45,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,1,"Single house",30,17,2,1,0,3,1
1734,125146,"IVB - MIMAROPA",93383,"Other sources of Income","1",13410,270,730,18402,3600,14721,11318,32724,39716,"Male",40,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",8,1,5,1,"Single house",11,10,2,1,0,2,0
1735,145814,"III - Central Luzon",59701,"Enterpreneurial Activities","0",14180,3516,2565,32100,18000,65912,15316,0,81130,"Male",51,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,1,0,"Single house",65,7,2,1,0,2,0
1736,165999,"VIII - Eastern Visayas",21034,"Other sources of Income","0",0,0,120,24288,15000,14888,15094,0,0,"Female",73,"Widowed","Program Studies","No Job/Business","No Occupation","Unemployed",1,0,0,0,"Single house",36,76,3,0,0,1,0
1737,205060,"IX - Zasmboanga Peninsula",48450,"Enterpreneurial Activities","0",6000,0,2645,19218,9600,7330,5596,0,195200,"Male",24,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",3,1,0,0,"Single house",20,15,2,1,0,1,1
1738,457478,"NCR",151943,"Wage/Salaries","2",45270,5060,2190,49110,33000,36918,112958,0,3642,"Male",48,"Widowed","Elementary Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,0,3,"Multi-unit residential",72,31,0,1,0,6,0
1739,120266,"XI - Davao Region",95729,"Wage/Salaries","1",8030,1530,540,19302,9000,8467,5346,0,12034,"Male",34,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",7,2,3,1,"Single house",10,15,0,1,0,1,0
1740,164050,"VI - Western Visayas",89468,"Wage/Salaries","1",8230,8040,1274,18312,6000,5658,8360,0,0,"Male",61,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",7,1,2,3,"Single house",17,31,1,1,0,1,0
1741,225450,"III - Central Luzon",63290,"Wage/Salaries","0",17400,456,2205,29370,0,13264,16550,0,0,"Male",38,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,2,"Duplex",35,19,1,1,0,3,0
1742,246279,"V - Bicol Region",93148,"Wage/Salaries","0",12680,1629,3725,48360,24000,17196,27142,0,48816,"Male",65,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",6,0,1,2,"Single house",50,65,1,1,0,4,0
1743,193300,"I - Ilocos Region",78677,"Enterpreneurial Activities","0",29512,228,1870,19668,15000,28108,5201,695,125121,"Male",45,"Married","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",4,0,2,2,"Single house",32,16,1,1,0,3,2
1744,1673400,"V - Bicol Region",117696,"Wage/Salaries","0",32600,6306,33547,313662,270000,488805,63442,0,0,"Male",54,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,1,"Single house",130,22,3,1,2,3,0
1745,115967,"VI - Western Visayas",48089,"Other sources of Income","0",1950,630,3020,19890,6000,10445,8514,22880,22880,"Male",35,"Married","Program Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",2,0,0,1,"Single house",46,8,3,1,0,1,1
1746,183617,"III - Central Luzon",69753,"Wage/Salaries","0",9990,6876,1750,16638,9000,16167,14804,0,47760,"Male",39,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,2,"Single house",20,11,0,1,0,2,0
1747,357482,"NCR",71228,"Enterpreneurial Activities","2",8150,9955,2050,50340,30000,4476,7848,0,239966,"Male",74,"Married","No Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,0,2,"Multi-unit residential",30,34,1,1,0,2,0
1748,119960,"Caraga",60407,"Enterpreneurial Activities","0",4300,4850,6946,13734,6000,11346,9596,0,47640,"Male",31,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",6,1,3,1,"Single house",28,17,2,1,0,3,1
1749,80450,"NCR",68686,"Other sources of Income","0",28470,0,1105,26880,18000,5101,6290,0,0,"Female",48,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Worked for private household",3,0,2,1,"Single house",10,50,0,1,0,1,0
1750,530672,"IVA - CALABARZON",169122,"Other sources of Income","0",65480,1440,17500,155130,30000,24102,50944,0,0,"Female",49,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",3,0,1,3,"Single house",112,12,2,1,0,3,1
1751,50173,"X - Northern Mindanao",28583,"Wage/Salaries","0",0,0,935,5058,3000,1929,7164,0,0,"Female",72,"Widowed","Elementary Studies","With Job/Business","Secondary Sector","Worked for private household",3,0,2,1,"Single house",30,6,1,1,0,0,0
1752,137708,"X - Northern Mindanao",16701,"Enterpreneurial Activities","0",1044,52,4440,37932,13800,42750,8682,0,113534,"Female",59,"Single","Program Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Duplex",100,65,1,1,0,1,0
1753,76292,"X - Northern Mindanao",32246,"Other sources of Income","0",240,0,2375,14652,9000,11074,3664,0,0,"Male",64,"Married","Elementary Studies","With Job/Business","Primary Sector","Worked for private establishment",3,1,0,1,"Single house",80,2,2,0,0,1,0
1754,285526,"III - Central Luzon",57005,"Wage/Salaries","0",12380,210,3449,74802,42000,34492,15834,0,0,"Male",46,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,1,2,"Single house",50,20,1,1,0,2,0
1755,302980,"IX - Zasmboanga Peninsula",45581,"Wage/Salaries","0",11270,1730,2320,10794,6000,56980,125406,25180,90580,"Male",66,"Married","No Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",3,0,0,1,"Single house",30,14,2,1,0,1,0
1756,455224,"VIII - Eastern Visayas",124895,"Wage/Salaries","2",28900,7240,2800,96390,72000,150240,23560,0,0,"Male",48,"Married","Program Studies","With Job/Business","Tertiary Sector","Worked for private establishment",3,0,1,2,"Single house",80,17,3,1,0,4,1
1757,157163,"I - Ilocos Region",85578,"Wage/Salaries","0",20340,240,1722,10620,6000,16405,11190,17632,45012,"Male",75,"Married","No Studies","With Job/Business","Primary Sector","Employer in own family-operated farm or business",4,0,0,2,"Single house",80,15,3,1,0,2,0
1758,251234,"NCR",115903,"Wage/Salaries","2",25960,612,1060,50910,12000,37121,16344,0,0,"Male",46,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for government/government corporation",5,0,1,1,"Single house",10,25,1,1,0,3,0
1759,165648,"CAR",76035,"Other sources of Income","0",10975,0,9160,67728,48000,36417,12718,0,52000,"Male",39,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",5,0,3,2,"Single house",200,15,4,1,0,5,0
1760,203255,"XII - SOCCSKSARGEN",53115,"Other sources of Income","0",25840,4720,6272,20022,12000,25742,30512,0,0,"Male",49,"Married","No Studies","With Job/Business","Primary Sector","Worked for private establishment",4,0,1,2,"Single house",23,12,2,1,0,2,0
1761,282340,"VII - Central Visayas",72487,"Other sources of Income","0",14200,3620,15994,62364,27000,39507,30872,0,39860,"Female",62,"Widowed","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",1,0,0,0,"Duplex",73,14,6,1,0,1,1
1762,87350," ARMM",62573,"Enterpreneurial Activities","1",3810,3258,660,7770,4200,6825,5014,0,74200,"Male",39,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",7,0,2,0,"Single house",9,15,1,0,0,0,0
1763,246852,"VII - Central Visayas",89514,"Other sources of Income","0",10720,17160,500,49428,30000,37883,22260,0,0,"Male",71,"Married","High School Studies","No Job/Business","No Occupation","Unemployed",2,0,0,0,"Single house",80,4,3,1,1,1,0
1764,186134,"VIII - Eastern Visayas",46638,"Other sources of Income","0",780,0,0,96864,81000,21450,7752,0,0,"Female",59,"Widowed","High School Studies","No Job/Business","No Occupation","Unemployed",3,0,0,0,"Single house",128,65,3,1,0,1,0
1765,470201,"VII - Central Visayas",160017,"Wage/Salaries","0",37220,280,7993,66840,31200,144659,34620,0,0,"Female",56,"Widowed","Elementary Studies","No Job/Business","No Occupation","Unemployed",6,0,1,4,"Single house",100,30,2,1,0,5,3
1766,87050," ARMM",69049,"Enterpreneurial Activities","1",9270,260,1380,10680,6600,3740,5268,0,71540,"Male",38,"Married","Elementary Studies","With Job/Business","Primary Sector","Self-employed wihout any employee",6,0,3,0,"Single house",13,16,1,0,0,0,0
1767,189576,"IVA - CALABARZON",72899,"Enterpreneurial Activities","0",22160,0,1020,50088,42000,12708,7414,0,123996,"Female",73,"Single","High School Studies","With Job/Business","Tertiary Sector","Self-employed wihout any employee",2,0,1,0,"Single house",100,25,2,1,0,2,0
1768,265917,"NCR",147998,"Wage/Salaries","2",63200,0,3425,40410,0,12999,15536,0,0,"Male",44,"Married","High School Studies","With Job/Business","Tertiary Sector","Worked for private establishment",4,0,2,2,"Duplex",40,10,2,1,0,2,1
